Event,event_geopoint,latitude,longitude
Happy Day Conference 2021,"138.54267,-34.977575",-34.977575,138.54267
SEPTEMBER: Jolly Phonics & Jolly Grammar Training,"138.5908137,-34.956197",-34.956197,138.5908137
